ID,ADI,DURAK_KODU,geometry
511236,75.YIL MAHALLESİ,108821,POINT (28.9050089999868 41.0961310005691)
510802,HAMZA YERLİKAYA,225542,POINT (29.0245120494284 40.9950769709486)
578934,BEŞ KARDEŞLER,123182,POINT (28.9096300253977 40.9850400271495)
511344,KARADENİZ MAHALLESİ,106232,POINT (28.881793999986 41.0849300005673)
580105,NECİP FAZIL KISAKÜREK,202921,POINT (29.1650929999924 41.0163680005565)
659212,İGDAŞ,119931,POINT (28.9784489999889 41.0660360005643)
127,VATAN CADDESİ,207631,POINT (29.3210219999945 40.8252780005263)
130,VALİLER SİTESİ,207642,POINT (29.3129369999944 40.8261520005264)
382,TUZLA,225922,POINT (29.3035509999943 40.8153860005247)
7,ÇAKIRAĞA,207902,POINT (29.3361839999945 40.8750520005341)
345,HALİL TÜRKKAN KIZ ANADOLU İMAM HATİP LİSESİ,213501,POINT (29.3336279612635 40.8721570199483)
95,ÜÇYOL AĞZI,206912,POINT (29.3391379999945 40.931822000543)
281,MEHMETÇİK VAKFI,211152,POINT (29.3490889999946 40.9201360005412)
462,BALLICA CADDESİ,262991,POINT (29.3884990370227 40.94516403368)
274,ORHANLI ORTAOKULU,210841,POINT (29.3616809999947 40.8978960005378)
174,HUDUT KAPISI,229281,POINT (29.4022849999951 40.881018000535)
79,AKFIRAT PARKI,205892,POINT (29.4165739999952 40.9239830005418)
21,TEPEÖREN DÖRTYOL,207964,POINT (29.3880779999949 40.9112170005398)
325,EKİM SOKAK,212602,POINT (29.4003720000079 40.9134069991187)
332,TUZLA ORGANİZE SANAYİ,212871,POINT (29.4081309999952 40.8845160005356)
425,ORHANGAZİ CADDESİ,229031,POINT (29.3744769999948 40.9024780005384)
455,BİRLİK ORGANİZE SANAYİ,229241,POINT (29.390071999995 40.8771610005345)
150,TUZLA BELEDİYESİ,207722,POINT (29.2993659999943 40.8442750005292)
254,HÜRRİYET CADDESİ,209852,POINT (29.3043280000091 40.8451989991201)
365,İÇMELER KÖPRÜSÜ,225844,POINT (29.2964579999942 40.8486230005299)
48,İHSAN HAYRİYE HÜRDOĞAN İLKOKULU,209041,POINT (29.3284049999945 40.8666940005328)
508932,KIZLI HAVUZ,127552,POINT (28.6841259999748 41.0641970005632)
508934,BAŞAKŞEHİR 2.ETAP,127642,POINT (28.787299999981 41.1067970005702)
508938,TEM YOLU,127921,POINT (28.787049670554 41.0652285046849)
292920,ŞEHİT KENAN,218092,POINT (29.1419709821284 41.1646550020767)
292921,KİRAZLI,218191,POINT (29.2439519732249 41.184753957165)
292922,KİRAZLI,218192,POINT (29.243850999993 41.1846810005836)
292925,KASIMPATI,218251,POINT (29.1941970193553 41.1629390430173)
292927,TAŞOCAKLARI CAMİİ,218351,POINT (29.092153999991 41.1404130005764)
292933,ARSLAN SOKAK,218382,POINT (29.1408640425429 41.112252970374)
292939,ŞENER SOKAK,218412,POINT (29.1463339999919 41.1166480005726)
292940,MEHMET UÇAR SOKAK,218421,POINT (29.1480719999919 41.1103230005716)
292944,KABAKOZ YOLU,218611,POINT (29.1633679891646 41.2163179606892)
292946,ALTINÇEŞME,218621,POINT (29.1629709999919 41.2075930005873)
292949,FATİH MAHALLESİ,218632,POINT (29.1225719999916 41.0895680005682)
292951,UFUK CADDESİ,218661,POINT (29.1642129999921 41.0952980005692)
292952,MURATDERE MAHALLESİ,218751,POINT (29.2010599777919 41.1681310051)
292958,ŞEHİT ÖMER HALİSDEMİR MESLEKİ VE TEKNİK ANADOLU LİSESİ,218832,POINT (29.0960200000113 41.1398599991139)
292965,YEŞİL VADİ SOKAK,218902,POINT (29.1678159522107 41.1697710173222)
292966,BEYKOZ DİŞ SAĞLIĞI MERKEZİ,218921,POINT (29.0917279999911 41.0977160005695)
292971,MEHMET AKİF ERSOY CADDESİ,219051,POINT (29.1396929999919 41.0714050005653)
292974,AYDINLAR SOKAK,219212,POINT (29.1307690321094 41.1035289631454)
510891,UZUNÇAYIR CADDESİ,226982,POINT (29.0458379999906 40.9961440005532)
511308,50.YIL MAHALLESİ,303151,POINT (28.8760559999858 41.0982890005694)
511326,MENDERES CADDESİ,106081,POINT (28.881997999986 41.0830040005669)
291075,ÇARŞI,126392,POINT (28.6759309873586 40.9791449933039)
578943,ADNAN KAHVECİ SOKAK,165171,POINT (28.8958279999868 40.9841680005512)
